unix,low,high,open,close,volume,date
1650585600,2933.13,3033.76,2983.72,2963.05,147896.5340014,2022-04-22
1650499200,2940.0,3179.74,3077.16,2983.94,173634.26729666,2022-04-21
1650412800,3032.72,3169.29,3102.44,3077.06,117310.39372033,2022-04-20
1650326400,3029.58,3132.47,3055.86,3102.26,117657.24244335,2022-04-19
1650240000,2880.0,3071.26,2988.09,3056.19,165766.83949602,2022-04-18
1650153600,2981.52,3082.96,3060.35,2988.4,67328.66942615,2022-04-17
1650067200,3010.67,3086.83,3040.41,3060.35,46446.22013313,2022-04-16
1649980800,2993.29,3058.99,3021.68,3040.19,75091.03161864,2022-04-15
1649894400,2976.0,3145.19,3119.01,3021.78,131077.99214911,2022-04-14
1649808000,2997.5,3129.92,3028.27,3119.0,135126.03200322,2022-04-13
1649721600,2950.35,3089.87,2979.32,3027.82,201291.80136702,2022-04-12
1649635200,2950.0,3214.88,3203.05,2979.55,238180.41734881,2022-04-11
1649548800,3189.92,3309.28,3259.45,3203.05,58700.63987676,2022-04-10
1649462400,3181.8,3269.74,3192.54,3258.99,48962.32688662,2022-04-09
1649376000,3173.48,3313.79,3227.26,3192.54,137312.60396565,2022-04-08
1649289600,3143.07,3269.56,3168.1,3227.56,157725.46332848,2022-04-07
1649203200,3161.64,3408.0,3406.99,3168.52,311364.33037265,2022-04-06
1649116800,3395.8,3555.48,3520.5,3407.0,166478.13322904,2022-04-05
1649030400,3405.79,3548.51,3522.51,3520.66,155953.23125025,2022-04-04
1648944000,3413.66,3581.6,3445.25,3522.78,100873.78414588,2022-04-03
1648857600,3433.31,3532.85,3456.25,3445.38,117055.44343232,2022-04-02
1648771200,3211.66,3482.42,3283.08,3456.48,213450.79609118,2022-04-01
1648684800,3260.99,3447.03,3386.69,3283.08,168597.71177893,2022-03-31
1648598400,3333.87,3448.62,3401.7,3386.68,135283.45551922,2022-03-30
1648512000,3331.23,3483.87,3334.19,3401.71,174573.96933975,2022-03-29
1648425600,3275.57,3437.24,3296.24,3334.47,237110.16743972,2022-03-28
1648339200,3127.74,3299.99,3146.33,3296.29,122475.83176341,2022-03-27
1648252800,3086.2,3154.47,3103.91,3146.22,69714.86952634,2022-03-26
1648166400,3076.18,3195.0,3112.95,3104.15,220943.39724511,2022-03-25
1648080000,3003.51,3130.41,3037.82,3112.52,248655.86785905,2022-03-24
1647993600,2920.64,3046.99,2970.51,3038.93,212170.39198444,2022-03-23
1647907200,2887.79,3053.98,2890.78,2970.51,192172.55035781,2022-03-22
1647820800,2832.97,2965.26,2862.44,2891.08,148907.41126764,2022-03-21
1647734400,2819.18,2965.94,2952.35,2862.44,103674.36633811,2022-03-20
1647648000,2895.37,2988.89,2939.18,2952.16,101087.67252083,2022-03-19
1647561600,2768.25,2987.0,2814.62,2939.17,226096.28101747,2022-03-18
1647475200,2747.77,2839.59,2775.16,2814.67,228315.81827779,2022-03-17
1647388800,2604.32,2789.58,2619.01,2774.89,211196.06612638,2022-03-16
1647302400,2508.05,2670.53,2590.12,2619.15,161601.50858275,2022-03-15
1647216000,2499.0,2609.56,2516.42,2590.23,133881.30167965,2022-03-14
1647129600,2492.98,2603.56,2569.09,2516.41,71303.49491982,2022-03-13
1647043200,2552.52,2617.83,2556.39,2569.3,56451.09317314,2022-03-12
1646956800,2523.28,2679.56,2608.46,2556.42,155353.98026641,2022-03-11
1646870400,2553.42,2734.33,2727.86,2608.22,181463.07885867,2022-03-10
1646784000,2567.98,2774.26,2577.11,2727.6,178230.29132363,2022-03-09
1646697600,2480.33,2626.16,2491.29,2576.72,192900.83723166,2022-03-08
1646611200,2445.0,2649.81,2550.46,2491.58,209566.73792961,2022-03-07
1646524800,2536.4,2677.0,2665.94,2550.77,81556.05091403,2022-03-06
1646438400,2589.93,2685.93,2623.08,2665.77,74795.81490054,2022-03-05
1646352000,2575.0,2835.95,2833.71,2623.07,264628.67091773,2022-03-04
1646265600,2785.01,2972.07,2948.58,2833.66,191801.94423344,2022-03-03
1646179200,2914.9,3045.0,2977.72,2948.56,231625.47605833,2022-03-02
1646092800,2855.29,3040.7,2922.87,2977.72,249644.25411598,2022-03-01
1646006400,2570.0,2960.25,2617.79,2923.08,273216.3610563,2022-02-28
1645920000,2558.48,2836.26,2780.76,2618.01,193491.83696032,2022-02-27
1645833600,2728.53,2880.0,2769.24,2780.71,118737.45939774,2022-02-26
1645747200,2572.23,2837.23,2597.39,2769.52,232940.26531533,2022-02-25
1645660800,2300.0,2750.0,2580.54,2597.42,495732.46045534,2022-02-24
1645574400,2576.69,2756.9,2638.2,2580.97,189232.9352146,2022-02-23
1645488000,2500.74,2667.28,2569.6,2637.98,241082.81650581,2022-02-22
1645401600,2559.77,2760.71,2622.47,2569.0,235808.75914421,2022-02-21
1645315200,2575.75,2765.24,2764.53,2622.47,165033.10298905,2022-02-20
1645228800,2696.39,2833.3,2780.05,2764.44,111215.14420451,2022-02-19
1645142400,2752.67,2945.98,2894.52,2780.08,197402.29756962,2022-02-18
1645056000,2853.0,3162.35,3124.44,2893.56,210090.91381776,2022-02-17
1644969600,3043.41,3190.0,3186.24,3124.45,148463.93058713,2022-02-16
1644883200,2911.87,3199.0,2931.17,3186.24,180355.80323661,2022-02-15
1644796800,2830.01,2966.53,2872.83,2931.01,176105.13710553,2022-02-14
1644710400,2836.47,2955.65,2919.86,2872.84,82968.08334438,2022-02-13
1644624000,2857.11,2987.62,2929.09,2919.99,113168.17322545,2022-02-12
1644537600,2879.34,3140.86,3074.84,2929.08,268537.66433701,2022-02-11
1644451200,3057.81,3284.75,3246.28,3074.85,221267.33665333,2022-02-10
1644364800,3057.16,3274.0,3119.91,3246.22,159305.14378693,2022-02-09
1644278400,3027.56,3234.67,3141.84,3119.57,215565.05621758,2022-02-08
1644192000,2995.22,3199.08,3058.21,3141.89,232464.2844524,2022-02-07
1644105600,2950.26,3076.25,3014.83,3058.22,80118.01843273,2022-02-06
1644019200,2957.98,3063.48,2997.63,3014.5,159547.93620619,2022-02-05
1643932800,2672.84,2999.0,2697.59,2998.19,275254.72885163,2022-02-04
1643846400,2572.66,2729.01,2683.09,2697.59,197429.85205996,2022-02-03
1643760000,2613.42,2814.1,2789.62,2682.66,256394.56721487,2022-02-02
1643673600,2675.99,2815.49,2689.87,2789.66,212782.90255881,2022-02-01
1643587200,2478.31,2708.98,2602.63,2689.72,193802.14585439,2022-01-31
1643500800,2542.66,2642.0,2603.39,2602.89,103353.36641229,2022-01-30
1643414400,2521.72,2640.0,2546.84,2603.74,138968.35714717,2022-01-29
1643328000,2358.63,2559.55,2425.01,2546.84,231189.51401633,2022-01-28
1643241600,2315.72,2521.96,2464.99,2425.82,272971.5127865,2022-01-27
1643155200,2400.0,2724.0,2460.4,2465.0,409131.34465566,2022-01-26
1643068800,2351.18,2509.87,2441.6,2460.68,268705.41724115,2022-01-25
1642982400,2159.0,2541.74,2541.19,2441.74,583901.18061678,2022-01-24
1642896000,2371.58,2551.3,2411.91,2541.19,248046.68461556,2022-01-23
1642809600,2301.6,2628.36,2568.12,2411.9,457765.04354891,2022-01-22
1642723200,2467.11,3034.7,3000.99,2569.01,603711.8291189,2022-01-21
1642636800,2986.0,3273.32,3084.49,3000.94,185761.37491937,2022-01-20
1642550400,3047.0,3176.81,3160.78,3085.27,159240.24960598,2022-01-19
1642464000,3083.68,3246.2,3211.08,3160.81,151969.48482665,2022-01-18
1642377600,3142.39,3360.07,3349.88,3210.98,128212.72032287,2022-01-17
1642291200,3275.0,3394.45,3327.81,3349.46,58643.37423357,2022-01-16
1642204800,3260.0,3373.56,3309.98,3328.12,58794.17252061,2022-01-15
1642118400,3188.34,3346.81,3241.6,3310.45,110175.14720879,2022-01-14
1642032000,3233.67,3413.36,3373.25,3241.88,130378.3015897,2022-01-13
1641945600,3206.72,3420.08,3240.83,3373.64,165432.46044549,2022-01-12
1641859200,3052.19,3265.98,3083.51,3240.83,158466.70742447,2022-01-11
1641772800,2928.69,3180.29,3151.65,3083.51,260769.14044553,2022-01-10
1641686400,3057.82,3212.46,3080.92,3151.66,131897.75381912,2022-01-09
1641600000,3000.0,3247.89,3198.96,3080.48,231676.12058726,2022-01-08
1641513600,3065.0,3415.52,3405.66,3198.82,376752.15627171,2022-01-07
1641427200,3300.0,3550.02,3539.0,3406.03,282771.63777278,2022-01-06
1641340800,3414.88,3848.2,3785.0,3539.0,240345.13859808,2022-01-05
1641254400,3714.22,3894.12,3766.01,3785.0,148752.52638971,2022-01-04
1641168000,3681.62,3851.66,3828.93,3766.04,106574.13357834,2022-01-03
1641081600,3718.2,3855.77,3765.98,3828.87,78466.35113548,2022-01-02
1640995200,3674.02,3777.82,3675.81,3765.72,98353.62552826,2022-01-01
1640908800,3619.78,3815.04,3710.01,3675.8,171634.96154996,2021-12-31
1640822400,3585.85,3769.99,3630.18,3710.02,155011.95096414,2021-12-30
1640736000,3603.0,3828.18,3793.66,3630.59,167709.4231065,2021-12-29
1640649600,3760.01,4038.68,4038.18,3793.67,203399.82203323,2021-12-28
1640563200,4027.56,4128.9,4066.14,4038.64,108344.57109844,2021-12-27
1640476800,4008.01,4106.5,4098.67,4065.91,66848.08372392,2021-12-26
1640390400,4021.31,4143.13,4049.81,4097.43,68854.05530395,2021-12-25
1640304000,4005.0,4138.71,4113.64,4049.65,109472.89747679,2021-12-24
1640217600,3895.7,4157.82,3980.82,4113.08,180980.07790929,2021-12-23
1640131200,3933.74,4075.0,4017.35,3981.12,110316.26044274,2021-12-22
1640044800,3908.13,4063.89,3946.59,4017.11,137991.50149241,2021-12-21
1639958400,3754.8,3984.08,3925.78,3946.16,172027.91571974,2021-12-20
1639872000,3886.03,4039.73,3961.93,3925.79,102078.81232557,2021-12-19
1639785600,3768.14,3999.0,3876.37,3961.92,113485.77521903,2021-12-18
1639699200,3699.0,3994.81,3957.12,3876.02,209823.26509135,2021-12-17
1639612800,3952.81,4116.39,4021.41,3957.28,174285.93324831,2021-12-16
1639526400,3643.43,4097.0,3860.72,4021.53,319094.24570016,2021-12-15
1639440000,3686.49,3884.08,3784.0,3860.74,197099.24204846,2021-12-14
1639353600,3660.0,4146.1,4132.91,3783.81,305712.33000025,2021-12-13
1639267200,3989.41,4186.16,4091.17,4132.92,108368.85746466,2021-12-12
1639180800,3835.0,4099.87,3899.97,4091.18,166327.13830459,2021-12-11
1639094400,3889.42,4232.38,4105.99,3900.91,273780.7217072,2021-12-10
1639008000,4076.15,4490.72,4440.94,4106.06,222048.28315781,2021-12-09
1638921600,4226.88,4456.36,4310.21,4440.51,186740.13696568,2021-12-08
1638835200,4260.0,4433.99,4354.09,4310.19,198306.85854675,2021-12-07
